split,path,class,sha256
train,Training/Apple Braeburn/197_100.jpg,Apple Braeburn,dd708ec2e8b4f2c0058a35a9c4df8011087d22fa118d84901f4e721bae48d3e6
train,Training/Apple Braeburn/240_100.jpg,Apple Braeburn,4d1a73f7f1d3b48f78fe525c8875517906e2941eb89d81f1f49f341cd575f17b
train,Training/Apple Braeburn/156_100.jpg,Apple Braeburn,785f2d305f8929d0aa19efb9c102591ca7454fdb17a05d0e109ca2ba79e172ff
train,Training/Apple Braeburn/28_100.jpg,Apple Braeburn,264c241481ab8a81758a245a4a707af0e6d7dc5c1a275f0229dbef1dec947cef
train,Training/Apple Braeburn/r_318_100.jpg,Apple Braeburn,824a219973b79296865aa4b7299cb4f6e1823f66c498b8a98e37877932d65085
train,Training/Apple Braeburn/127_100.jpg,Apple Braeburn,ba1a7a023c027fcd7330466fdb4868a95f4f3c7e8aa0f0f3273cd1b87c228eda
train,Training/Apple Braeburn/165_100.jpg,Apple Braeburn,e087c1722764256cd087b09b9354f595bbf4d1b93b862704453218ec6869e4b5
train,Training/Apple Braeburn/r_284_100.jpg,Apple Braeburn,23f8b026df60c0f9ffd85444ecc93db87fce6af2d459623fe145af19f6acde1c
train,Training/Apple Braeburn/r_28_100.jpg,Apple Braeburn,2a0e2f1aca598b0c82ab88831fa31bd583cfdaa3f83a81b86bca58f220922521
train,Training/Apple Braeburn/r_263_100.jpg,Apple Braeburn,caf6e7672e836a8a9950924f3fecb0fc48e0d1c85f9e39b23381d63abdbd051b
train,Training/Apple Braeburn/r_186_100.jpg,Apple Braeburn,6a615d670d3963dc6c3928aea6e4289c101243e63f6023425ed65b8f95069fc9
train,Training/Apple Braeburn/225_100.jpg,Apple Braeburn,a00b7cc40c28a7fb294269ac1df22d67d3b994fe23a139407af729cf5d2ca3d3
train,Training/Apple Braeburn/r_287_100.jpg,Apple Braeburn,4f71949fa0f8cec80e5aed9516730bf23f561a1eebc56ce22d03c8c28a936093
train,Training/Apple Braeburn/r_183_100.jpg,Apple Braeburn,28e29808e49a640c1e1533ef7438ce9d595ca6bb231b5b6b0a3d791da494ff83
train,Training/Apple Braeburn/r_308_100.jpg,Apple Braeburn,662dd4c3e87c0a013e7f6252269b7053c12e397f9026bb54c73f6373a1877582
train,Training/Apple Braeburn/232_100.jpg,Apple Braeburn,df1464837c5f381b79ed89397e9d4fef0912eacfe8545806bc209a5ee62c15a3
train,Training/Apple Braeburn/r_298_100.jpg,Apple Braeburn,fe772bbaf27e02308e5b5e2775379d6b7ac413192dd7d4536f3d6f096534063f
train,Training/Apple Braeburn/178_100.jpg,Apple Braeburn,e40511aac31fc0bcb27de5e04a2b22a5cf71539b217297458dc876e2fe5fd0c1
train,Training/Apple Braeburn/251_100.jpg,Apple Braeburn,be9df2077c2d92e725feab919c17bed2a0e2e640590cb0dddeaa76a86a858fc9
train,Training/Apple Braeburn/12_100.jpg,Apple Braeburn,1d54401aaafcefd36e1f11e0ddfc6521a3a6fbbb137181eb499d360e68e083e5
train,Training/Apple Braeburn/273_100.jpg,Apple Braeburn,1edfd2aefd0d5c73c7f9a95990c7fc44c711c2d1695e4df0212d076f8eee81f1
train,Training/Apple Braeburn/r_260_100.jpg,Apple Braeburn,dbcb400e7471947d6b78fa4ec7eb6404f865cb90a9bd27b22c03d68c01922cd4
train,Training/Apple Braeburn/18_100.jpg,Apple Braeburn,8330c253daf8353d671d64ae8d99d8c850ddace3fa48505678ee71965883db4b
train,Training/Apple Braeburn/226_100.jpg,Apple Braeburn,778ebebe6278a8228d98d739d717b945d582a5026c7e75603c94b7d550d7d8a1
train,Training/Apple Braeburn/318_100.jpg,Apple Braeburn,f620f5832ddcd7e756013c65f3aab9f82359085022a97ee04cf4eb51273eda4d
train,Training/Apple Braeburn/218_100.jpg,Apple Braeburn,3f2d8c15db0e7290806b991cbe2853fe936228982d9fed3fb1064d545f992dd4
train,Training/Apple Braeburn/132_100.jpg,Apple Braeburn,2ada0cdce90a626ddaf89fe269776c3812b9dd0fcf24555dd006046e751495ea
train,Training/Apple Braeburn/r_15_100.jpg,Apple Braeburn,920c460cd4c7be2821e7af828a231ab50d8d7c090283665c707e586c2a1810ce
train,Training/Apple Braeburn/r_21_100.jpg,Apple Braeburn,9c51192840aaae8f331d52eeee6e3d7aa4803f0d0b2f2703fea85a3e583240a3
train,Training/Apple Braeburn/r_161_100.jpg,Apple Braeburn,435752edb7886f809a7498274d4c7a27b26eacef2a139e7bb12565d321184ff0
train,Training/Apple Braeburn/262_100.jpg,Apple Braeburn,246b5ca6e386e611ae5ff29dda96c7062c528100931767ded91e953d8ce26b4c
train,Training/Apple Braeburn/15_100.jpg,Apple Braeburn,72254f76514084b7ad5d16f32ba20bcfd72832c58d8288226f932051a9b35674
train,Training/Apple Braeburn/134_100.jpg,Apple Braeburn,65365f4c55dfe42fc9f6a34f7d0575de366c4bbcf8be6319ab0f778cce87c8b0
train,Training/Apple Braeburn/291_100.jpg,Apple Braeburn,a857bfed4d36a2f809134d013f8e0c45e2a8c5a1f97ac437732147ec24ef8d6b
train,Training/Apple Braeburn/r_29_100.jpg,Apple Braeburn,221924038135321cfcf6b855f84ec4ed0641aee2e2e26c148b7094a3a3c7f0e9
train,Training/Apple Braeburn/230_100.jpg,Apple Braeburn,fd6e530ed05c43dc1778f453311ae8d6108ec49608db0b565b56f54e210898bb
train,Training/Apple Braeburn/r_171_100.jpg,Apple Braeburn,82ee03436b8d65e0e1a1c48323b6add4b2e023a231c872cd64921d499d72c8be
train,Training/Apple Braeburn/0_100.jpg,Apple Braeburn,eee6faa63ca955e0bf046423b26e552417e0d7b5d9ca4458b8043dc0f9a55a25
train,Training/Apple Braeburn/215_100.jpg,Apple Braeburn,e196703c96908ccf57c2a320681ea303ee9b23963244f1f9fd87ea32cd063d25
train,Training/Apple Braeburn/r_273_100.jpg,Apple Braeburn,0506aedee50c7c7d8e6b62f2a6f35c4aa1407dfa5d9d61c67093a6845342fd6a
train,Training/Apple Braeburn/r_221_100.jpg,Apple Braeburn,ed4b824e7c0893dbabceabc1a64b9bca2039a229b32d7282575df7fa01dba6d8
train,Training/Apple Braeburn/161_100.jpg,Apple Braeburn,c01c73fc3eb5dee9d2831227355668ce722eaa8ff8f0bd413cf793c6b84aa985
train,Training/Apple Braeburn/r_117_100.jpg,Apple Braeburn,fc33944e968210c576fe7cf0c6a19c3b090c3021ec4b774e107ef7f297626896
train,Training/Apple Braeburn/259_100.jpg,Apple Braeburn,39dd0bd38a75397533574c2ea4050a642fc4102289dd1d0ca87ccf2b064f7497
train,Training/Apple Braeburn/13_100.jpg,Apple Braeburn,3b191d3a4bc3cce463a6cb6ff4b9f7f64a876fbdaf66df7630be171a63ff6109
train,Training/Apple Braeburn/r_204_100.jpg,Apple Braeburn,a2d08855cf93b3a36fd1926a5301badafc197956d08559db2b51e900a01e1672
train,Training/Apple Braeburn/r_110_100.jpg,Apple Braeburn,c139b21ff4433f4dbd3f50714890073728c9a13e3f4638c9523ca81ad2c8ca71
train,Training/Apple Braeburn/239_100.jpg,Apple Braeburn,dc8b373346a76776f20141e5bdb55e31ed7bf9d51ca3486c13d976d1976930c9
train,Training/Apple Braeburn/r_239_100.jpg,Apple Braeburn,3bb5b802d8b877ca365eb430d15c2550698d4be61a79898ac27fba4f88219aed
train,Training/Apple Braeburn/r_150_100.jpg,Apple Braeburn,6f145fae8f7f44baf03cb46551a3a6a89d8d73b32d704f85a93816c7ff778a2b
train,Training/Apple Braeburn/194_100.jpg,Apple Braeburn,5c414c0e1c500dadac2ee6af75b690e4bd00d5af20d218fc20df617adab77aa0
train,Training/Apple Braeburn/265_100.jpg,Apple Braeburn,f2a352c4694193b2b6b20c1704818b5e955c177d9551704275a59e12bf9793b4
train,Training/Apple Braeburn/314_100.jpg,Apple Braeburn,031fa3cd5fa578ff790f3411763c93dda4227b3541224dd40fb45fce7e9e2914
train,Training/Apple Braeburn/109_100.jpg,Apple Braeburn,3c9e8d6a0e226fa57a2b205d95beea8aa1729e69ae2486c8eac5e8f3c7b3e642
train,Training/Apple Braeburn/r_255_100.jpg,Apple Braeburn,0229c2eeb413b40c9a7aa03937b5bf1c8b78933dc65e1fd6c9ab44709012dfb2
train,Training/Apple Braeburn/117_100.jpg,Apple Braeburn,91834be3a180bc6be5e3f6ae041993c8de94fb29050ff060e55c0f6e5a755776
train,Training/Apple Braeburn/r_177_100.jpg,Apple Braeburn,870f8a0f6ad0c7b424d75e1d71ae26689fd5c461121945d85548d77a1222bf33
train,Training/Apple Braeburn/140_100.jpg,Apple Braeburn,2e36b087863945441cf2b9e9e5fc4f324441df5aaddc8ffbf7687e57d9613ff5
train,Training/Apple Braeburn/r_144_100.jpg,Apple Braeburn,56042995720fab04503be1e914e5683a46e3cf565632b5d7718561f989284019
train,Training/Apple Braeburn/r_130_100.jpg,Apple Braeburn,31ee4c12db53b67fc529bc5bfa7435efdf2da78dd18fe5a0516a7bfbe0816cd1
train,Training/Apple Braeburn/111_100.jpg,Apple Braeburn,7909397984e02a27bfe13c8acd87634610f6720293fa4c34bd319c7ce943acf5
train,Training/Apple Braeburn/r_264_100.jpg,Apple Braeburn,f113e638401de2f017132a485bb3a01856902504bb2d4678e3beda4a890dc710
train,Training/Apple Braeburn/r_152_100.jpg,Apple Braeburn,839fd2527bd773b46d863e4b21cd5b635678feffb7e7813e45ae2404839e841b
train,Training/Apple Braeburn/r_138_100.jpg,Apple Braeburn,9300b9047eda4a46112e73a97319a984c1ce785c1162033f0372de920f5ab5c8
train,Training/Apple Braeburn/153_100.jpg,Apple Braeburn,e22c21c5f0ae33dac3b8de7ebdf09be23edf2eb8eb046079ccf1fa767494b7c7
train,Training/Apple Braeburn/188_100.jpg,Apple Braeburn,e4339fbbe7c40ed336e6e9871fe32c9221dd1b92db7b9bf610a47aca227c70d0
train,Training/Apple Braeburn/r_275_100.jpg,Apple Braeburn,d4aba9a92837b36c0f69b3ac708c820b0fe35818e868e88ce64a0a4fbb3c1398
train,Training/Apple Braeburn/r_153_100.jpg,Apple Braeburn,4496ba3fbb1ac47dcd765ec7a2428ddcca18b026dc999fbf7955d57d4b1258c7
train,Training/Apple Braeburn/267_100.jpg,Apple Braeburn,b80b20d8bb7172035ca0b47b9bcf242fd8d9b91124844e6635437472fa701ff8
train,Training/Apple Braeburn/r_240_100.jpg,Apple Braeburn,95f01a98851536365f29a30b9e7ed926acade4f87e492e755e53a2be8d5b88ac
train,Training/Apple Braeburn/r_165_100.jpg,Apple Braeburn,d384b0115fd074871e8c9407197633e3b1a3c495dcd5e6a0657ed8ad31a98c29
train,Training/Apple Braeburn/139_100.jpg,Apple Braeburn,bc5f7e3639d81b209e1f919163cbbc817429119826212c207f8b54ae119e0641
train,Training/Apple Braeburn/311_100.jpg,Apple Braeburn,41b48a8efe9536c79d9c9253a04a9c9b0bac1e872310500422c15a411efa418b
train,Training/Apple Braeburn/r_191_100.jpg,Apple Braeburn,4bc40eb5bbcc38a91aee3b28f573bb5e0c11295c08794df8f14b98d7da00ca12
train,Training/Apple Braeburn/264_100.jpg,Apple Braeburn,92a9f28a1ed5992950230bcc3c24b1ba50af63ce9b8a50cbaea53d49142ede22
train,Training/Apple Braeburn/316_100.jpg,Apple Braeburn,ab1262e2555c5aab7ffee8ee02830241c4a20986cfca419bb2f29cba71991697
train,Training/Apple Braeburn/253_100.jpg,Apple Braeburn,5eb001a79982fd07afcb162cd2e3d9951f0355bf1222a24fc933f9f155ffb4d5
train,Training/Apple Braeburn/228_100.jpg,Apple Braeburn,33b86797119e6ba9a9492ab603531f6af13f1babe7ab724ed2da4644f719f985
train,Training/Apple Braeburn/r_174_100.jpg,Apple Braeburn,6039e58662437e0170897e261e22725f4b577e28c61c5efcc07e1febeaa731de
train,Training/Apple Braeburn/r_280_100.jpg,Apple Braeburn,12969a58a0f502e404619574450bb39c6b9edfa04e426760eeea9e86d34b4223
train,Training/Apple Braeburn/r_19_100.jpg,Apple Braeburn,e31c7ec0f07c05d7f2fd6a1c6664994f932693b7966271d2f26577bfd66ad799
train,Training/Apple Braeburn/r_297_100.jpg,Apple Braeburn,80d618bf2d5137065f98960756743da72c20dffa7d201e9bff78a91727b1558d
train,Training/Apple Braeburn/r_149_100.jpg,Apple Braeburn,572c1099cbee2c57ed126f0f121ba995d235baebe1fba93e37c8866f54fce427
train,Training/Apple Braeburn/151_100.jpg,Apple Braeburn,c6bba4e19fafaad4f1d8d38608a0c314ce9af18866f848735a06cb01f89fddc9
train,Training/Apple Braeburn/r_307_100.jpg,Apple Braeburn,887974aaef660970ada8ae80d0db96b6d929fd3df17615ec44cfac62abae4d99
train,Training/Apple Braeburn/255_100.jpg,Apple Braeburn,3b4d68a38494823576cdb7f06c9da6a72fdd41525e7e794af31468afd2ffa9f4
train,Training/Apple Braeburn/163_100.jpg,Apple Braeburn,0d84d6f8888f59761f4bc4289810a2d89767c92e50f82e6c83929689b21e74a7
train,Training/Apple Braeburn/31_100.jpg,Apple Braeburn,fcc92b04f8ff1b0644c68df22916c7ec6a92670e756cdc4e11926c76a7bff313
train,Training/Apple Braeburn/r_109_100.jpg,Apple Braeburn,123e883d6a728bc6c2ed19e0aee89c03511b946a85c2bb662858a9770f217179
train,Training/Apple Braeburn/144_100.jpg,Apple Braeburn,2ac074a2e46df0ca090a9cf376ee4d878361e7aba966667a350dbdf9f326d2df
train,Training/Apple Braeburn/236_100.jpg,Apple Braeburn,8b05625583a18ee80e82527720de49ed03bb46e46b21940bd8f3abadfaff58f6
train,Training/Apple Braeburn/108_100.jpg,Apple Braeburn,3b3c7f4d5fd271ca06bcc034456d31249e6bc795ddd6661a849b92fffbab3ead
train,Training/Apple Braeburn/r_139_100.jpg,Apple Braeburn,6f3ad48818a42b0e9410f7152f322a1c0188afffdfa6953ee75c1f7c80b8bfef
train,Training/Apple Braeburn/160_100.jpg,Apple Braeburn,6fc7c4977c121c3c9cf381c7788a087156d4830a9b2b7b976d3fc574054b12ca
train,Training/Apple Braeburn/224_100.jpg,Apple Braeburn,8d7be1554f8f896408a4d951edc10f250f0bed8adfa422fe7c56efd52106e869
train,Training/Apple Braeburn/r_148_100.jpg,Apple Braeburn,c5318e12b246e2080f345b904ea07cbe667acb77d04309d454b59ae1658928c7
train,Training/Apple Braeburn/r_2_100.jpg,Apple Braeburn,ddf9516e12d7cca935f2726e4104c96a6bd83b5928c4fe2151b126dcc81c2c5b
train,Training/Apple Braeburn/r_245_100.jpg,Apple Braeburn,ccfadb440f2c68eb5f7045c97c6aa53ba4c108149316cd030de3f4b696179fc1
train,Training/Apple Braeburn/r_292_100.jpg,Apple Braeburn,e8120027ffbcc05371ec5b5e75fa8e8e609b1cc91bdc2f0b1c37a2e8dd8c360d
train,Training/Apple Braeburn/179_100.jpg,Apple Braeburn,16ae223ab58097e1cfb88fa8e6532b395be42cfd952f97639444f5494194b75e
train,Training/Apple Braeburn/r_290_100.jpg,Apple Braeburn,a6a052e8434a661efac4d84d20b2094234d4b405119e61159b689216f3ccc38a
train,Training/Apple Braeburn/307_100.jpg,Apple Braeburn,98e15011edef2d7b274fbe93f64d6fc4da59cfe8e24469d93e5f95fb118abf2f
train,Training/Apple Braeburn/212_100.jpg,Apple Braeburn,19f85e2d2bf176b56b199b428cf3a5f59b92ab30809aa4bec7c889a619d03d53
train,Training/Apple Braeburn/r_199_100.jpg,Apple Braeburn,4e8f4d11003f2c90802730e70e86042477ec12199aa35786c2ff3e9efac80003
train,Training/Apple Braeburn/r_134_100.jpg,Apple Braeburn,fa85a34ba5c0afc8903f17211058be655c633ccefbe960e8b1764f0531732c1a
train,Training/Apple Braeburn/r_184_100.jpg,Apple Braeburn,d1ce964899f7d4a5c774965a693d47947be74b656f997c127fcff329341f0b94
train,Training/Apple Braeburn/r_288_100.jpg,Apple Braeburn,010a853577a69e9853bfaeac2c17ed0a9786f419b160411b9c9095ba08caa7e8
train,Training/Apple Braeburn/r_205_100.jpg,Apple Braeburn,cb9fbd79a8dd85664f8247d6c9b593290a951ad573b6d77ba8ece234655ea355
train,Training/Apple Braeburn/128_100.jpg,Apple Braeburn,ad264015b7a59d2bc3910ca5f90befe0dd8fd904668fa6fbc281277ea9ce0706
train,Training/Apple Braeburn/20_100.jpg,Apple Braeburn,2c842cbafd95d2ce2bb788d8de3c7ce68c3111443e929379eed2df6be3f780ca
train,Training/Apple Braeburn/r_247_100.jpg,Apple Braeburn,6564d9715ef5761be889a099fca34f9ba80ace32a1f8bc102cb2748a6f33a9c3
train,Training/Apple Braeburn/289_100.jpg,Apple Braeburn,bcc75d781734d79fade303dbc97fd52d11f2c1fdca895c20883b4f8ac5b872dd
train,Training/Apple Braeburn/r_220_100.jpg,Apple Braeburn,71843d901e5cfdf399a5ce089b91e0b2abfda23255a32b69b16b06d773555dc4
train,Training/Apple Braeburn/r_203_100.jpg,Apple Braeburn,2ec9298f031ddb2d598319055d3755f51b7c053217e598a6d7e2433c55e9e670
train,Training/Apple Braeburn/270_100.jpg,Apple Braeburn,977a2de08e2f0b6aab6cf264e02753fd6d1d169fc02a6477e908aea8f933c875
train,Training/Apple Braeburn/181_100.jpg,Apple Braeburn,0194f48e28fe2cf9f0953e0cc2feb7a55a9fef4a54c005693e2716f7409315c0
train,Training/Apple Braeburn/177_100.jpg,Apple Braeburn,9d5a294080a3d64adb70337fc3e00b012f461839116ce8616533a5363223c45e
train,Training/Apple Braeburn/r_173_100.jpg,Apple Braeburn,b1e1d98754ec75774eb62768248d24d6f6b497b039ff747fd646f80e10ed4a82
train,Training/Apple Braeburn/r_219_100.jpg,Apple Braeburn,20e880fb9359b0b03e1e94b6d697174e5fa94ecb2e8bdb7856a0c3a5aa1587d2
train,Training/Apple Braeburn/313_100.jpg,Apple Braeburn,5ca7b68a99ebee8c60fa25c02ceef90770ca98ef3b30531317f9777353fccccf
train,Training/Apple Braeburn/121_100.jpg,Apple Braeburn,a919cb5b898866a0af77801ef31fb13ec238c40320d7a20ac4c9fdf3e8213e4c
train,Training/Apple Braeburn/308_100.jpg,Apple Braeburn,17be64b526a758ea3a7b479bee6ca002de5442347c05e69a40358ee433c76192
train,Training/Apple Braeburn/r_270_100.jpg,Apple Braeburn,062b3a3e31d454001151a2a8d236fd3e1b2c165652008db58575b2f68e10bd76
train,Training/Apple Braeburn/r_303_100.jpg,Apple Braeburn,d6bf55ca3474f9e6b67932122773db1aed95d39091595648b55a142538a749c2
train,Training/Apple Braeburn/r_113_100.jpg,Apple Braeburn,783fb8a44c62d33023e1c8c91bacfa7ba13fef96b581d19ac7bfee8f30b0f93a
train,Training/Apple Braeburn/r_250_100.jpg,Apple Braeburn,587eb1cfba164c4c32876d44260d25a1bb9267ec0ee701933bd27f53bfa327fd
train,Training/Apple Braeburn/263_100.jpg,Apple Braeburn,0c910f52a2c6ee81d135d2e9787cb8a58b161b010efd13603f2b824ca4af66e8
train,Training/Apple Braeburn/23_100.jpg,Apple Braeburn,068a5efdc49d258802ce36b974da1d3468c7d4deca2f5eaf45e0d4fbfca3d02d
train,Training/Apple Braeburn/r_10_100.jpg,Apple Braeburn,ab71fc3d3b66c281d1f5865a52ed7a323194e6a150012819769c7887991defab
train,Training/Apple Braeburn/11_100.jpg,Apple Braeburn,2bcfb754c9c14b726f1c8c2c40692b3b553592d57aac2c39a53ae0616a8ab760
train,Training/Apple Braeburn/r_120_100.jpg,Apple Braeburn,1f37d2bb86cd3c09af6c982f2df4c857e122ebf0aaa16209bb4022c56255bf19
train,Training/Apple Braeburn/r_246_100.jpg,Apple Braeburn,41577fc0fdc165744c2cbe46a29d8fa5e41bba2ab97233145f131f9660606292
train,Training/Apple Braeburn/r_209_100.jpg,Apple Braeburn,6f950ac36a35d99147fe7fe0ae7ac467271f0e18c60e63a39813c6abab61df29
train,Training/Apple Braeburn/182_100.jpg,Apple Braeburn,df5d9a5e65f0b523664c654888de68aa0857b70c9fcff02d4744c623d121e1f3
train,Training/Apple Braeburn/r_100_100.jpg,Apple Braeburn,7acee2a2be51131429558c756748c59878e3f309caf347e714304fa80b026244
train,Training/Apple Braeburn/118_100.jpg,Apple Braeburn,4b33c22ed85bb53b636fe89cc2c73e1c53dd9f97824674698df1b69d45b4a275
train,Training/Apple Braeburn/297_100.jpg,Apple Braeburn,4383a6a8f14558c173fd5a9f735c1f0c21268e13f763ddc1e7b1bb8dd3ace08d
train,Training/Apple Braeburn/198_100.jpg,Apple Braeburn,745cd26f5d8194affb34669b140ba14f0e5d93d1d9ba9849e4a790898eeb443b
train,Training/Apple Braeburn/271_100.jpg,Apple Braeburn,8eac4877e32b9ab6c8ee49aa4a33efd9ad4d004fb97a46110fc2d2a8b3129b09
train,Training/Apple Braeburn/r_234_100.jpg,Apple Braeburn,72bb831451035aaaf723fb4f79ae8342d83c1ceac1d9d22e2bc2510c1688f984
train,Training/Apple Braeburn/r_145_100.jpg,Apple Braeburn,526cdeeb690dddffbde9dbb17f5032da3229d4f6592ed6b7e1a46a41a972eef9
train,Training/Apple Braeburn/169_100.jpg,Apple Braeburn,dca8d633f26fbe64ae4be2451e15e6b7c74eee4223810672fc25f35aa709f4d2
train,Training/Apple Braeburn/r_164_100.jpg,Apple Braeburn,30ee041319572b255d067c567346e6c3db0ae60d13e2d43317905806b652bab0
train,Training/Apple Braeburn/223_100.jpg,Apple Braeburn,2e267f576dbcedcd4a3313cd4f1e28d78a225af62daf5828f2d499c1b3c79fde
train,Training/Apple Braeburn/r_281_100.jpg,Apple Braeburn,f049b626da671fc92065801583ce0f391d076f6281c5255909b9d5007868f199
train,Training/Apple Braeburn/r_146_100.jpg,Apple Braeburn,c960fcc18c203157c747b961aeabbbbc527d3cd2d04ed2e31b7a8e081078d922
train,Training/Apple Braeburn/214_100.jpg,Apple Braeburn,76e34d53e1170ad624460ff909e4e96a91e562ce5d7ee8e9991512965704853c
train,Training/Apple Braeburn/249_100.jpg,Apple Braeburn,38c729bc851cb565ea8abe616e2300ed3ab9c5d4e0b3497ff592d47d53814eeb
train,Training/Apple Braeburn/235_100.jpg,Apple Braeburn,9e63001b760740ceb04fed9b22472cb9c8f0f94540f145f0ed4044e2e6425800
train,Training/Apple Braeburn/266_100.jpg,Apple Braeburn,f1ab4dc99a669c2600461455256204570de1c022a50552c7d1775fb7154a38d4
train,Training/Apple Braeburn/r_276_100.jpg,Apple Braeburn,47b01dd4f0a676b983a688c0f458d9d034ce90cffa9e8b45ede41499fc69b205
train,Training/Apple Braeburn/r_166_100.jpg,Apple Braeburn,53492bbdb694861f280376ef44cce50d8905707d8d9057cd3a14ac42dfa060c3
train,Training/Apple Braeburn/154_100.jpg,Apple Braeburn,8614a0987cd1143c973eafec7d854da6e86012329efbf65f96f1efd753b81e96
train,Training/Apple Braeburn/114_100.jpg,Apple Braeburn,f03d835eb0da6f86986378562fc676aa2b5811b43fde5ab2d74cab05934056d8
train,Training/Apple Braeburn/r_310_100.jpg,Apple Braeburn,25c8409936c1713df973f3fa7a264e7362153a87db1525c7968b95568d385fe7
train,Training/Apple Braeburn/r_301_100.jpg,Apple Braeburn,5e10dbddb69eb421ab0aa0d002493380e0bc62b6a03558a69c26b09ff96056e5
train,Training/Apple Braeburn/r_233_100.jpg,Apple Braeburn,27311b93844bb3f41c8517bfb4b60d38bdf6736e83313dbf3334de3fafb5242d
train,Training/Apple Braeburn/220_100.jpg,Apple Braeburn,d7f9d766e05f80f2311ef42438fa24c05fb2cd67f20db76e0c38a82b77488d2c
train,Training/Apple Braeburn/r_119_100.jpg,Apple Braeburn,2de5b3cc81e968fd777180a971f12d5183eee135c3fc22a01b5e0294a121d8bf
train,Training/Apple Braeburn/r_306_100.jpg,Apple Braeburn,77431cc9e4b4c7ad268a1e3c2f07267621f51b24b1725f4b415aad75d69ba50a
train,Training/Apple Braeburn/r_101_100.jpg,Apple Braeburn,30a61a2283299ac7c4b1fecdbd883a5ab51777ab3afe6ff6ceba77ffc1fc2aab
train,Training/Apple Braeburn/r_102_100.jpg,Apple Braeburn,3688ea4e340644857d01d3bd35ce71183e80caa14b6f53d267f5a81a5325e441
train,Training/Apple Braeburn/320_100.jpg,Apple Braeburn,5c0cdf150d45f18c331e5e3b329f2b7f41e704901a603a1027f90e9f729ea9c2
train,Training/Apple Braeburn/r_228_100.jpg,Apple Braeburn,b3f43aedb0a43d8ab4bf50025d12c2c8080fa0426a404e87869271ba97fca978
train,Training/Apple Braeburn/242_100.jpg,Apple Braeburn,67e0198b832a5f7c6f6cb92249312be6925faef4d88f9c214aa3285dfcc57345
train,Training/Apple Braeburn/250_100.jpg,Apple Braeburn,a9342b1d752c6ae9eb63f3023574af326a8b820285a3b32675ac8acd11d00efb
train,Training/Apple Braeburn/r_224_100.jpg,Apple Braeburn,5d2eae8b38e46ff0a6dcbef02bf066211e742a75e67523201b737e568f1a6885
train,Training/Apple Braeburn/r_320_100.jpg,Apple Braeburn,d3d8eeb086e43faacd26a789f71db71b52f0f6915a44f8e8a4b586ba35c02078
train,Training/Apple Braeburn/282_100.jpg,Apple Braeburn,a96fc237050b53517b6c1c8fe0e83c3f297482e54d2293296835f22acfa66bfc
train,Training/Apple Braeburn/r_104_100.jpg,Apple Braeburn,5a70a1c9f8888a39e0ecdbc9859e54ec72352baec539738ca8376674ffd79808
train,Training/Apple Braeburn/r_315_100.jpg,Apple Braeburn,3fa95c5cce82a82e2f9a17de12cdb3c76cd2453659d2311a2c40a79e6f3a15bd
train,Training/Apple Braeburn/103_100.jpg,Apple Braeburn,05bfc1cb2e298885d3a8c2c53796340d009e7cb09c2db3b3be5a7885ee512a31
